Fecha_Hora,Escenario,Conexion,VPN,Posicion_Esperada,Latitud,Longitud,Precision_m,Tiempo_Obtencion_ms,Tiempo_Consulta_Config_ms,Distancia_m,Radio_Geocerca_m,Validacion,Validacion_Correcta,Error
"2026-08-02T20:21:20.154Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.00"",""2136.20"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:20.564Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.70"",""2143.80"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:21.190Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""2.90"",""2380.20"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:21:21.590Z,""E6"",""Datos móviles"",""No"",""Fuera"",""-0.288273"",""-79.213246"",""114.00"",""3.70"",""2390.00"",""20.82"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:15.237Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""2.10"",""778.30"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:15.858Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""2.70"",""1002.60"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:16.669Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""2.50"",""1444.40"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:17.081Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""3.00"",""1431.40"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:18.323Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""2.70"",""2292.30"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:19.330Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""3.30"",""2949.50"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:19.844Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""2.50"",""3067.10"",""27.49"",""10"",""Rechazada"",""Sí"","""""
"2026-08-02T20:23:20.523Z,""E8"",""Datos móviles"",""Sí"",""Fuera"",""-0.288217"",""-79.213202"",""104.00"",""3.80"",""3361.60"",""27.49"",""10"",""Rechazada"",""Sí"","""""
